price	pred_price	std
651	610.04	11.6
1080	1136.98	20.35
1530	1627.7	37.91
1190	1194.08	21.39
1680	1632.17	34.01
620	692.08	17.55
990	860.1	17.83
460	456.95	12.57
490	470.91	13.02
1350	1233.22	28.44
2650	2822.98	51.72
1050	1102.56	22.48
1050	969.15	24.05
3380	3412.41	65.83
450	442.29	13.21
1850	1961.63	41.82
850	771.78	13.25
550	612.52	15.28
480	468.52	11.76
2470	2357.33	38.58
1400	1353.19	32.81
1580	1551.25	32.1
1450	1312.84	28.28
3150	3133.08	63.48
460	493.43	11.21
1850	1797.88	41.22
2850	2896.28	57.94
1480	1463.75	32.35
580	555.48	11.97
1990	2020.9	46.39
1950	2104.67	36.48
672	582.78	12.94
2200	2196.82	43.6
3450	3329.61	68.76
640	590.11	17.49
2480	2474.92	50.9
499	458.91	10.92
1980	1996.48	34.45
740	664.93	17.93
1980	2128.28	44.92
320	294.24	10.8
1670	1799.75	37.33
1050	1052.77	22.8
940	993.83	17.83
900	777.91	18.78
1650	1436.24	27.97
840	824.76	15.07
600	594.4	12
1250	1277.69	26.85
1350	1246.5	24.16
1180	1264.66	25.44
1520	1539.21	29.63
450	408.07	15.27
1020	991.71	20.87
1990	1957.97	42.3
1840	1982.85	41.4
2190	2149.28	36.55
2640	2499.3	52.01
460	443.01	11.36
2180	2272.54	50.72
1200	1272.71	25.98
930	900.04	20.25
690	681.85	14.93
590	580.17	14.32
550	559.51	12.91
2550	2514.34	54.79
2580	2500.08	45.46
1670	1601.78	34.55
800	720.67	14.82
1860	1915.84	34.57
930	1029.79	20.69
1000	1037.82	17.54
1250	1255.95	25.75
930	922.72	19.49
760	751.63	14.36
890	841.2	20.08
590	617.78	11.86
2270	2154.09	41.98
2320	2284.49	44.95
2020	1952.57	37.59
3850	4003.31	93.56
2350	2419.61	45.82
4330	4271.57	94.44
1450	1481.13	22.85
580	545.62	14.21
1050	1039.92	24.55
541	565.3	12.58
520	471.8	13.84
850	848.78	17.46
1090	1114.04	26.89
830	791.57	16.2
800	775.04	16.86
1100	1069.78	22.05
1350	1339.08	28.79
650	732.88	19.46
680	665.42	15.68
990	941.32	23.32
1100	1113.87	23.51
2650	2437.16	50.72
520	464.47	11.26
1180	1139.63	21.93
690	694.56	14.75
2460	2455.12	43.3
2020	1928	38.35
570	552.25	15.13
2580	2526.32	38.49
980	944.66	19.75
1390	1219.27	24.3
2150	2115.36	38.61
1420	1584.52	30.98
1190	1060.48	19.65
630	715.65	11.06
970	872.97	19.5
1070	1124.15	27.11
360	339.89	14.43
1010	1087.38	25.79
