model_code,car_type,trans_mode,fuel_type,branch,affiliate_code,region,trading_complex,refund,vain_effort,guarantee,selected_color,reg_month,adv_month,maker_code,class_code,car_code,grade_code
11764.0,,,,,,,진주자동차매매단지,,,,,,,,,2845.0,965.0
11771.0,,,,,,,창원자동차매매전시장(천차만차),,,,,,,,,2852.0,970.0
11776.0,,,,,,,천안매매단지,,,,,,,,,2858.0,972.0
11777.0,,,,,,,천안중부매매단지,,,,,,,,,2859.0,973.0
11778.0,,,,,,,청주시 상당구 개별단지,,,,,,,,,2869.0,974.0
11784.0,,,,,,,청주시 청원구 개별단지,,,,,,,,,2870.0,975.0
11786.0,,,,,,,청주오토월드매매단지,,,,,,,,,2872.0,976.0
11787.0,,,,,,,청주자동차매매단지,,,,,,,,,2874.0,977.0
11835.0,,,,,,,칠곡군 개별단지,,,,,,,,,2879.0,978.0
11840.0,,,,,,,카마트자동차매매단지,,,,,,,,,2888.0,979.0
11850.0,,,,,,,카서울닷컴,,,,,,,,,2890.0,980.0
11851.0,,,,,,,태백자동차매매단지,,,,,,,,,2894.0,981.0
11859.0,,,,,,,태평양자동차매매단지,,,,,,,,,2895.0,983.0
11862.0,,,,,,,팔봉오토파크,,,,,,,,,2898.0,984.0
11865.0,,,,,,,팡팡자동차매매단지,,,,,,,,,,985.0
11868.0,,,,,,,포천시 개별단지,,,,,,,,,,986.0
11869.0,,,,,,,포항시 북구 개별단지,,,,,,,,,,988.0
11870.0,,,,,,,포항오토아울렛단지,,,,,,,,,,989.0
11871.0,,,,,,,포항터미널매매단지,,,,,,,,,,990.0
11880.0,,,,,,,풍암자동차매매1단지,,,,,,,,,,
11881.0,,,,,,,풍암자동차매매2단지,,,,,,,,,,
11882.0,,,,,,,풍암자동차매매3단지,,,,,,,,,,
11889.0,,,,,,,하남자동차매매단지,,,,,,,,,,
11891.0,,,,,,,한맥매매단지,,,,,,,,,,
11897.0,,,,,,,한성매매단지,,,,,,,,,,
11898.0,,,,,,,한성자동차매매단지,,,,,,,,,,
11899.0,,,,,,,해운대구 개별단지,,,,,,,,,,
11900.0,,,,,,,,,,,,,,,,,
11901.0,,,,,,,,,,,,,,,,,
11902.0,,,,,,,,,,,,,,,,,
11903.0,,,,,,,,,,,,,,,,,
11904.0,,,,,,,,,,,,,,,,,
11905.0,,,,,,,,,,,,,,,,,
11906.0,,,,,,,,,,,,,,,,,
11907.0,,,,,,,,,,,,,,,,,
11908.0,,,,,,,,,,,,,,,,,
11909.0,,,,,,,,,,,,,,,,,
11910.0,,,,,,,,,,,,,,,,,
11911.0,,,,,,,,,,,,,,,,,
11912.0,,,,,,,,,,,,,,,,,
11913.0,,,,,,,,,,,,,,,,,
11914.0,,,,,,,,,,,,,,,,,
11916.0,,,,,,,,,,,,,,,,,
11917.0,,,,,,,,,,,,,,,,,
11919.0,,,,,,,,,,,,,,,,,
11920.0,,,,,,,,,,,,,,,,,
11921.0,,,,,,,,,,,,,,,,,
11922.0,,,,,,,,,,,,,,,,,
11924.0,,,,,,,,,,,,,,,,,
11930.0,,,,,,,,,,,,,,,,,
11933.0,,,,,,,,,,,,,,,,,
11939.0,,,,,,,,,,,,,,,,,
11941.0,,,,,,,,,,,,,,,,,
11942.0,,,,,,,,,,,,,,,,,
11943.0,,,,,,,,,,,,,,,,,
11944.0,,,,,,,,,,,,,,,,,
11945.0,,,,,,,,,,,,,,,,,
11946.0,,,,,,,,,,,,,,,,,
11947.0,,,,,,,,,,,,,,,,,
11948.0,,,,,,,,,,,,,,,,,
11949.0,,,,,,,,,,,,,,,,,
11950.0,,,,,,,,,,,,,,,,,
11953.0,,,,,,,,,,,,,,,,,
11954.0,,,,,,,,,,,,,,,,,
